episode,reward,avg_reward,policy_loss,contrastive_loss,reconstruction_loss,entropy,success,tether_violations,collisions,avg_distance,hyperparams,cumulative_reward,out_of_tether_count,steps_taken,communication_count,timestamp,num_episodes,algorithm
40,5050,50.5,3260.26171875,3260.26171875,1.871702790260315,4.17267845186318e-32,False,0,0,2.0,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-995050.0,199,1,1,2025-04-08 14:32:33,50,MAPPO
41,5050,50.5,3260.17236328125,3260.17236328125,1.4996075630187988,8.531767584723419e-38,False,0,0,1.98,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-9902.0,0,1,1,2025-04-08 14:32:33,50,MAPPO
42,5050,50.5,3261.3037109375,3261.3037109375,2.2458600997924805,8.482440757740414e-38,False,0,0,1.0,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-5902.0,0,1,1,2025-04-08 14:32:33,50,MAPPO
43,5050,50.5,3261.3037109375,3261.3037109375,2.2458600997924805,8.482440757740414e-38,False,0,0,2.0,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-975302.0,197,1,1,2025-04-08 14:32:33,50,MAPPO
44,-8579950,-85799.5,-8265576.5,-8265576.5,1.3773046731948853,-0.0,False,100,0,7.85,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-277301.0,104,1,1,2025-04-08 14:32:33,50,MAPPO
45,-247450,-2474.5,-160479.125,-160479.125,1.871702790260315,4.17267845186318e-32,False,0,100,2.0,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-5000.0,0,1,1,2025-04-08 14:32:33,50,MAPPO
46,5050,50.5,3260.17236328125,3260.17236328125,1.4996075630187988,8.531767584723419e-38,False,0,0,1.0,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-6000.0,0,1,1,2025-04-08 14:32:33,50,MAPPO
47,5050,50.5,3260.26171875,3260.26171875,1.871702790260315,4.17267845186318e-32,False,0,0,2.0,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-965503.0,196,1,1,2025-04-08 14:32:33,50,MAPPO
48,5050,50.5,3261.3037109375,3261.3037109375,2.2458600997924805,8.482440757740414e-38,False,0,0,1.0,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-5902.0,0,1,1,2025-04-08 14:32:33,50,MAPPO
49,5050,50.5,3260.17236328125,3260.17236328125,1.4996075630187988,8.531767584723419e-38,False,0,0,2.0,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-2000.0,0,1,1,2025-04-08 14:32:33,50,MAPPO
50,5050,50.5,3257.08056640625,3257.08056640625,1.8723020553588867,1.771725350499294e-21,False,0,0,2.0,"{'lr': 0.000413, 'episodes': 50, 'contrastive_weight': 0.68, 'reconstruction_weight': 0.16, 'entropy_weight': 0.058, 'max_steps': 100}",-985050.0,198,1,1,2025-04-08 14:32:33,50,MAPPO
